DEBUG 2015-09-11 15:30:07,472 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.001) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:13,944 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE (`clawer_clawertaskgenerator`.`status` = 4  AND `clawer_clawertaskgenerator`.`clawer_id` = 1 ) ORDER BY `clawer_clawertaskgenerator`.`id` DESC LIMIT 1; args=(4, 1)
DEBUG 2015-09-11 15:30:13,946 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_claweranalysis`.`id`, `clawer_claweranalysis`.`clawer_id`, `clawer_claweranalysis`.`code`, `clawer_claweranalysis`.`status`, `clawer_claweranalysis`.`add_datetime` FROM `clawer_claweranalysis` WHERE (`clawer_claweranalysis`.`status` = 1  AND `clawer_claweranalysis`.`clawer_id` = 1 ) LIMIT 1; args=(1, 1)
DEBUG 2015-09-11 15:30:37,513 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:37,515 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_userprofile`.`id`, `clawer_userprofile`.`user_id`, `clawer_userprofile`.`nickname` FROM `clawer_userprofile` WHERE `clawer_userprofile`.`user_id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:31:13,666 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:31:13,668 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_userprofile`.`id`, `clawer_userprofile`.`user_id`, `clawer_userprofile`.`nickname` FROM `clawer_userprofile` WHERE `clawer_userprofile`.`user_id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:31:37,478 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:31:37,481 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_userprofile`.`id`, `clawer_userprofile`.`user_id`, `clawer_userprofile`.`nickname` FROM `clawer_userprofile` WHERE `clawer_userprofile`.`user_id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:32:08,877 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:32:08,879 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_userprofile`.`id`, `clawer_userprofile`.`user_id`, `clawer_userprofile`.`nickname` FROM `clawer_userprofile` WHERE `clawer_userprofile`.`user_id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:32:39,462 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:32:39,463 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_userprofile`.`id`, `clawer_userprofile`.`user_id`, `clawer_userprofile`.`nickname` FROM `clawer_userprofile` WHERE `clawer_userprofile`.`user_id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:33:11,275 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:33:11,277 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_userprofile`.`id`, `clawer_userprofile`.`user_id`, `clawer_userprofile`.`nickname` FROM `clawer_userprofile` WHERE `clawer_userprofile`.`user_id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:33:38,106 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:33:38,108 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_userprofile`.`id`, `clawer_userprofile`.`user_id`, `clawer_userprofile`.`nickname` FROM `clawer_userprofile` WHERE `clawer_userprofile`.`user_id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:34:09,603 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:34:09,604 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_userprofile`.`id`, `clawer_userprofile`.`user_id`, `clawer_userprofile`.`nickname` FROM `clawer_userprofile` WHERE `clawer_userprofile`.`user_id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:34:39,983 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:34:39,985 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_userprofile`.`id`, `clawer_userprofile`.`user_id`, `clawer_userprofile`.`nickname` FROM `clawer_userprofile` WHERE `clawer_userprofile`.`user_id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:35:10,498 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:35:10,500 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_userprofile`.`id`, `clawer_userprofile`.`user_id`, `clawer_userprofile`.`nickname` FROM `clawer_userprofile` WHERE `clawer_userprofile`.`user_id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:35:39,928 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:35:39,930 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_userprofile`.`id`, `clawer_userprofile`.`user_id`, `clawer_userprofile`.`nickname` FROM `clawer_userprofile` WHERE `clawer_userprofile`.`user_id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:36:08,909 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:36:08,910 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_userprofile`.`id`, `clawer_userprofile`.`user_id`, `clawer_userprofile`.`nickname` FROM `clawer_userprofile` WHERE `clawer_userprofile`.`user_id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:36:39,686 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:36:39,687 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_userprofile`.`id`, `clawer_userprofile`.`user_id`, `clawer_userprofile`.`nickname` FROM `clawer_userprofile` WHERE `clawer_userprofile`.`user_id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:37:10,436 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:37:10,438 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_userprofile`.`id`, `clawer_userprofile`.`user_id`, `clawer_userprofile`.`nickname` FROM `clawer_userprofile` WHERE `clawer_userprofile`.`user_id` = 1 ; args=(1,)
